id,title,type,genres,averageRating,numVotes,releaseYear
tt0063929,"Monty Python's Flying Circus",tvSeries,Comedy,8.8,79695,1969
tt1910272,Steins;Gate,tvSeries,"Animation, Comedy, Drama",8.8,76933,2011
tt3718778,"Over the Garden Wall",tvMiniSeries,"Adventure, Animation, Comedy",8.8,74356,2014
tt0353049,"Chappelle's Show",tvSeries,"Comedy, Music",8.8,73118,2003
tt0096548,"Blackadder Goes Forth",tvSeries,"Comedy, War",8.8,57708,1989
tt16026746,"X-Men '97",tvSeries,"Action, Adventure, Animation",8.8,36549,2024
tt0081834,"Das Boot",tvMiniSeries,"Drama, War",8.8,33899,1985
tt1795096,"Behzat Ç: An Ankara Detective Story",tvSeries,"Crime, Drama, Mystery",8.8,33452,2010
tt7927936,Flames,tvSeries,"Comedy, Drama, Romance",8.8,33016,2018
tt15435876,"The Penguin",tvMiniSeries,"Crime, Drama, Fantasy",8.8,32404,2024
tt16492678,"Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc",movie,"Action, Animation, Fantasy",8.8,25796,2021
tt0253779,"The Foster Brothers",movie,Comedy,8.8,21339,1976
tt0074006,"I, Claudius",tvMiniSeries,"Biography, Drama, History",8.8,19786,1976
tt15295490,"Campus Diaries",tvSeries,"Comedy, Drama, Romance",8.8,17327,2022
tt0084302,"The Marathon Family",movie,"Comedy, Drama",8.8,17236,1982
tt14888874,"Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc",movie,"Action, Animation, Fantasy",8.8,16790,2020
tt10534500,#Home,movie,"Drama, Family",8.8,15945,2021
tt22727518,"Another Love",tvSeries,"Crime, Drama, Romance",8.8,14906,2023
tt9566030,"Pew News",tvSeries,"Comedy, News",8.8,14798,2018
tt17592606,Daman,movie,"Adventure, Drama",8.8,13677,2022
tt0086935,"Balkan Spy",movie,"Comedy, Drama",8.8,12631,1984
tt6108262,"Black Sun",tvSeries,"Crime, Drama, Thriller",8.8,12599,2017
tt13661118,"Not Me",tvMiniSeries,"Action, Crime, Romance",8.8,12163,2021
tt0481256,"Fighting Spirit",tvSeries,"Action, Animation, Comedy",8.8,11143,2000
tt2077886,"The Phantom of the Opera at the Royal Albert Hall",movie,"Drama, Musical, Romance",8.8,10122,2011
tt0816692,Interstellar,movie,"Adventure, Drama, Sci-Fi",8.7,2173948,2014
tt0133093,"The Matrix",movie,"Action, Sci-Fi",8.7,2095365,1999
tt0080684,"Star Wars: Episode V - The Empire Strikes Back",movie,"Action, Adventure, Fantasy",8.7,1405067,1980
tt4574334,"Stranger Things",tvSeries,"Drama, Fantasy, Horror",8.7,1383539,2016
tt0099685,Goodfellas,movie,"Biography, Crime, Drama",8.7,1284298,1990
tt0073486,"One Flew Over the Cuckoo's Nest",movie,Drama,8.7,1089442,1975
tt1190634,"The Boys",tvSeries,"Action, Comedy, Crime",8.7,728283,2019
tt2085059,"Black Mirror",tvSeries,"Crime, Drama, Mystery",8.7,657444,2011
tt3581920,"The Last of Us",tvSeries,"Action, Adventure, Drama",8.7,570840,2023
tt0412142,House,tvSeries,"Drama, Mystery",8.7,533245,2004
tt2707408,Narcos,tvSeries,"Biography, Crime, Drama",8.7,482017,2015
tt5753856,Dark,tvSeries,"Crime, Drama, Mystery",8.7,463164,2017
tt0096697,"The Simpsons",tvSeries,"Animation, Comedy",8.7,443190,1989
tt0121955,"South Park",tvSeries,"Animation, Comedy",8.7,412846,1997
tt0367279,"Arrested Development",tvSeries,Comedy,8.7,328777,2003
tt0804503,"Mad Men",tvSeries,Drama,8.7,266405,2007
tt4236770,Yellowstone,tvSeries,"Drama, Western",8.7,235895,2018
tt1606375,"Downton Abbey",tvSeries,"Drama, Romance",8.7,229068,2010
tt11280740,Severance,tvSeries,"Drama, Mystery, Sci-Fi",8.7,223475,2022
tt15097216,"Jai Bhim",movie,"Crime, Drama, Mystery",8.7,220747,2021
tt6741278,Invincible,tvSeries,"Action, Adventure, Animation",8.7,219330,2021
tt5687612,Fleabag,tvSeries,"Comedy, Drama",8.7,212914,2016
tt4508902,"One Punch Man",tvSeries,"Action, Animation, Comedy",8.7,192338,2015
tt0384766,Rome,tvSeries,"Action, Drama, Romance",8.7,189498,2005
tt0988824,"Naruto: Shippuden",tvSeries,"Action, Adventure, Animation",8.7,180797,2007
tt0407362,"Battlestar Galactica",tvSeries,"Action, Adventure, Drama",8.7,178480,2004
tt5555260,"This Is Us",tvSeries,"Comedy, Drama, Romance",8.7,162791,2016
tt0248654,"Six Feet Under",tvSeries,"Comedy, Drama",8.7,153297,2001
tt5788792,"The Marvelous Mrs. Maisel",tvSeries,"Comedy, Drama",8.7,146222,2017
tt0092455,"Star Trek: The Next Generation",tvSeries,"Action, Adventure, Drama",8.7,139551,1987
tt1628033,"Top Gear",tvSeries,"Adventure, Sport, Talk-Show",8.7,129282,2002
tt10189514,"Soorarai Pottru",movie,Drama,8.7,125695,2020
tt13991232,1883,tvMiniSeries,"Drama, Western",8.7,122869,2021
tt0118421,Oz,tvSeries,"Crime, Drama, Thriller",8.7,108871,1997
tt9544034,"The Family Man",tvSeries,"Action, Comedy, Drama",8.7,101135,2019
tt0286486,"The Shield",tvSeries,"Crime, Drama, Thriller",8.7,90088,2002
tt5712554,"The Grand Tour",tvSeries,"Comedy, Sport, Talk-Show",8.7,87399,2016
tt0994314,"Code Geass",tvSeries,"Action, Animation, Drama",8.7,84344,2006
tt13309742,"Blue Eye Samurai",tvSeries,"Action, Adventure, Animation",8.7,78432,2023
tt0758745,"Friday Night Lights",tvSeries,"Drama, Sport",8.7,73812,2006
tt2303687,"Line of Duty",tvSeries,"Crime, Drama, Mystery",8.7,72490,2012
tt0387764,"Peep Show",tvSeries,Comedy,8.7,67980,2003
tt9263550,"Rocketry: The Nambi Effect",movie,"Biography, Drama",8.7,59704,2022
tt0318871,Berserk,tvSeries,"Action, Adventure, Animation",8.7,58284,1997
tt0434706,Monster,tvSeries,"Animation, Crime, Drama",8.7,49577,2004
tt10850932,"Crash Landing on You",tvSeries,"Adventure, Comedy, Drama",8.7,45259,2019
tt0111958,"Father Ted",tvSeries,Comedy,8.7,44620,1995
tt7466810,"777 Charlie",movie,"Adventure, Comedy, Drama",8.7,41569,2022
tt3398540,Haikyu!!,tvSeries,"Animation, Comedy, Drama",8.7,39100,2014
tt1534360,Ezel,tvSeries,"Crime, Drama, Thriller",8.7,38467,2009
tt7472896,"Mr Inbetween",tvSeries,"Crime, Drama",8.7,34238,2018
tt0459159,"The Thick of It",tvSeries,Comedy,8.7,26735,2005
tt0096639,"Lonesome Dove",tvMiniSeries,"Adventure, Drama, Western",8.7,26663,1989
tt0093603,Nayakan,movie,"Crime, Drama",8.7,25400,1987
tt0086661,"The Adventures of Sherlock Holmes",tvSeries,"Crime, Drama, Mystery",8.7,24694,1984
tt10332508,Primal,tvSeries,"Action, Adventure, Animation",8.7,22327,2019
tt0088178,"Stop Making Sense",movie,"Documentary, Music",8.7,21551,1984
tt28857177,"Lucky Guy",tvSeries,"Comedy, Drama, Fantasy",8.7,21468,2023
tt6025022,"Justice League Unlimited",tvSeries,"Action, Adventure, Animation",8.7,21294,2004
tt0252490,"The Chaos Class Is Waking Up",movie,Comedy,8.7,21157,1976
tt20859920,"Alchemy of Souls",tvSeries,"Action, Drama, Fantasy",8.7,19616,2022
tt0253614,"Saban, Son of Saban",movie,Comedy,8.7,18989,1977
tt8176054,"Pariyerum Perumal",movie,Drama,8.7,18984,2018
tt0252597,"Feyzo, the Polite One",movie,"Comedy, Drama",8.7,17615,1978
tt6019206,"Kill Bill: The Whole Bloody Affair",movie,"Action, Crime, Thriller",8.7,17410,2006
tt0080306,"Yes Minister",tvSeries,Comedy,8.7,16916,1980
tt0076276,"Who's Singin' Over There?",movie,"Adventure, Comedy, Drama",8.7,16890,1980
tt7738784,Peranbu,movie,"Drama, Family",8.7,16833,2018
tt0201368,"The Broken Landlord",movie,"Comedy, Drama",8.7,16649,1985
tt0988818,Gintama,tvSeries,"Action, Animation, Comedy",8.7,16309,2005
tt0106028,"Homicide: Life on the Street",tvSeries,"Crime, Drama, Mystery",8.7,14940,1993
tt4063800,"The Bureau",tvSeries,"Drama, Thriller",8.7,14934,2015
tt10801534,"How to with John Wilson",tvSeries,"Comedy, Documentary",8.7,14062,2020
tt0090509,"The Return of Sherlock Holmes",tvSeries,"Crime, Drama, Mystery",8.7,13658,1986
tt0229889,"El Chavo del Ocho",tvSeries,"Comedy, Family",8.7,13459,1972
tt11007006,Azize,tvSeries,Drama,8.7,13271,2019
tt0214915,Manichithrathazhu,movie,"Comedy, Horror, Mystery",8.7,12869,1993
